"Schema","Function Name","Return Type","Arguments","Type","Strictness","Security"
"public","authorize","boolean","requested_permission app_permission","normal","normal","SECURITY DEFINER"
"public","create_channel_with_member","uuid","p_slug text, p_user_id uuid","normal","normal","SECURITY DEFINER"
"public","create_dm_channel","uuid","other_user_id uuid","normal","normal","SECURITY DEFINER"
"public","create_dm_channel","uuid","user1_id uuid, profile1_id uuid, user2_id uuid, profile2_id uuid","normal","normal","SECURITY DEFINER"
"public","custom_access_token_hook","jsonb","event jsonb","normal","normal","SECURITY INVOKER"
"public","ensure_dm_channel_exists","uuid","channel_uuid uuid","normal","normal","SECURITY INVOKER"
"public","ensure_dm_membership_exists","uuid","p_channel_id uuid, p_user_id uuid, p_profile_id uuid","normal","normal","SECURITY INVOKER"
"public","find_or_create_dm_channel","uuid","user1_id uuid, profile1_id uuid, user2_id uuid, profile2_id uuid","normal","normal","SECURITY DEFINER"
"public","get_active_profile","uuid","p_user_id uuid","normal","normal","SECURITY DEFINER"
"public","get_dm_channels","TABLE(channel_id uuid, member_id uuid, user_id uuid, profile_id uuid, username text, full_name text, last_read_at timestamp with time zone)","p_user_id uuid","normal","normal","SECURITY DEFINER"
"public","get_dm_channels_for_user","TABLE(channel_id uuid, other_user_id uuid, other_profile_id uuid, other_username text, other_full_name text, last_read_at timestamp with time zone)","user_uuid uuid","normal","normal","SECURITY DEFINER"
"public","get_dm_unread_count","bigint","channel_id uuid, user_id uuid","normal","normal","SECURITY DEFINER"
"public","get_or_create_dm_channel","uuid","user1_id uuid, user2_id uuid, profile1_id uuid, profile2_id uuid","normal","normal","SECURITY DEFINER"
"public","get_unread_counts","TABLE(channel_id uuid, unread_count bigint)","p_user_id uuid","normal","normal","SECURITY DEFINER"
"public","get_user_channels","TABLE(channel_id uuid, channel_type text, latest_message_at timestamp with time zone, unread_count bigint)","user_id uuid","normal","normal","SECURITY DEFINER"
"public","handle_new_user","trigger","","trigger","normal","SECURITY DEFINER"
"public","insert_direct_message_member","uuid","p_channel_id uuid, p_user_id uuid, p_profile_id uuid, p_last_read_at timestamp with time zone DEFAULT now()","normal","normal","SECURITY DEFINER"
"public","is_dm_channel_member","boolean","channel_uuid uuid, user_uuid uuid","normal","normal","SECURITY DEFINER"
"public","mark_dm_as_read","void","p_channel_id uuid","normal","normal","SECURITY DEFINER"
"public","refresh_dm_member_profiles","trigger","","trigger","normal","SECURITY INVOKER"
"public","refresh_dm_memberships","trigger","","trigger","normal","SECURITY INVOKER"
"public","refresh_user_profiles","trigger","","trigger","normal","SECURITY INVOKER"
"public","send_direct_message","direct_messages","p_channel_id uuid, p_user_id uuid, p_profile_id uuid, p_content text","normal","normal","SECURITY DEFINER"
"public","update_direct_message_member_last_read","void","p_member_id uuid, p_last_read_at timestamp with time zone","normal","normal","SECURITY DEFINER"
"public","update_dm_last_read","timestamp with time zone","channel_id uuid, user_id uuid","normal","normal","SECURITY DEFINER"
"public","update_updated_at_column","trigger","","trigger","normal","SECURITY INVOKER"
"public","update_user_status","void","p_user_id uuid, p_status text","normal","normal","SECURITY DEFINER"
"public","update_user_view_status","void","p_user_id uuid, p_status text","normal","normal","SECURITY DEFINER"
